wmoid	name	lat	lon	elev	descript	near_airport	reg	gps_date	latest
51777	51777	3903	8817	889	RUOQIANG	NULL	7,10,18	NULL	2020-01-19 11:00:00
51709	ZWSH	3947	7598	1291	KASHI	NULL	7,10,18	NULL	2020-01-20 11:00:00
51644	51644	4172	8295	1100	KUQA	NULL	7,10,18	NULL	2020-01-19 11:00:00
51463	51463	4378	8762	919	URUMQI	NULL	7,10,18	NULL	2020-01-20 23:00:00
51431	ZWYN	4395	8133	663	YINING	NULL	7,10,18	NULL	2020-01-19 11:00:00
51076	51076	4773	8808	737	ALTAY	NULL	7,10,18	NULL	2020-01-19 11:00:00
50953	50953	4575	12677	143	HARBIN	NULL	7,10,18	NULL	2020-01-19 11:00:00
50774	50774	4772	12890	232	YICHUN	NULL	7,10,18	NULL	2020-01-18 23:00:00
50557	50557	4917	12523	243	NENJIANG	NULL	7,10,18	NULL	2020-01-19 11:00:00
50527	50527	4922	11975	611	HAILAR	NULL	7,10,18	NULL	2020-01-20 11:00:00
48820	VVNB	2102	10580	6	HANOI/NOIBAI INTL	NULL	7,10,18	NULL	2023-01-09 12:00:00
48615	WMKC	617	10228	5	KOTA BHARU/SULTAN P	NULL	7,8,18	NULL	2023-01-09 00:00:00
48601	WMKP	530	10027	4	PENANG/BAYAN LEPAS	NULL	7,8,18	NULL	2023-01-09 12:00:00
48407	VTUU	1525	10487	127	UBON/RATCHATHANI	NULL	7,8,18	NULL	2022-10-27 18:00:00
47991	RJAM	2430	15397	9	MINAMITORISHIMA	NULL	7,10,18	NULL	2023-01-09 12:00:00
47971	RJAO	2708	14218	8	CHICHIJIMA ISLAND	NULL	7,10,18	NULL	2023-01-09 12:00:00
47945	ROMD	2583	13123	20	MINAMIDAITOJIMA ISLAND	NULL	7,10,18	NULL	2023-01-09 12:00:00
47936	47936	2620	12768	27	NAHA AIRPORT	NULL	7,10,18	NULL	2008-03-31 12:00:00
